customer_id,signup_date,churn_date,plan,region,acquisition_channel,base_mrr
C000001,2022-01-01,2022-04-01,SMB,APAC,Social,52.2
C000002,2022-01-01,2022-07-01,SMB,EU,Organic,56.9
C000003,2022-01-01,2023-02-01,SMB,US,Paid Search,79.86
C000004,2022-01-01,2025-04-01,SMB,US,Paid Search,82.29
C000005,2022-01-01,,SMB,EU,Organic,79.14
C000006,2022-01-01,2023-12-01,SMB,EU,Organic,118.82
C000007,2022-01-01,2022-02-01,SMB,EU,Referral,90.16
C000008,2022-01-01,2022-07-01,SMB,EU,Organic,88.54
C000009,2022-01-01,2024-01-01,SMB,US,Social,80.13
C000010,2022-01-01,2023-11-01,Mid,EU,Organic,490.54
C000011,2022-01-01,2023-02-01,SMB,US,Paid Search,78.35
C000012,2022-01-01,2022-04-01,SMB,APAC,Paid Search,80.4
C000013,2022-01-01,2023-03-01,Mid,US,Paid Search,695.8
C000014,2022-01-01,,Mid,US,Organic,770.45
C000015,2022-01-01,2022-05-01,SMB,APAC,Social,106.34
C000016,2022-01-01,2022-04-01,SMB,US,Referral,104.31
C000017,2022-01-01,2022-02-01,SMB,APAC,Referral,100.46
C000018,2022-01-01,2023-04-01,SMB,APAC,Organic,97.04
C000019,2022-01-01,2023-05-01,SMB,US,Social,78.76
C000020,2022-01-01,2024-08-01,SMB,US,Social,94.77
C000021,2022-01-01,2022-11-01,SMB,US,Paid Search,97.73
C000022,2022-01-01,2022-05-01,Mid,US,Organic,543.78
C000023,2022-01-01,2022-03-01,SMB,EU,Social,103.75
C000024,2022-01-01,2022-03-01,SMB,US,Paid Search,98.83
C000025,2022-01-01,2022-12-01,Mid,APAC,Paid Search,1000.35
C000026,2022-01-01,2022-08-01,Mid,US,Organic,900.15
C000027,2022-01-01,2022-04-01,SMB,US,Paid Search,91.31
C000028,2022-01-01,2022-02-01,SMB,US,Paid Search,85.03
C000029,2022-01-01,,SMB,US,Paid Search,96.71
C000030,2022-01-01,2024-02-01,Mid,US,Paid Search,666.18
C000031,2022-01-01,,SMB,APAC,Paid Search,55.19
C000032,2022-01-01,2025-01-01,SMB,APAC,Organic,74.47
C000033,2022-01-01,2023-01-01,SMB,US,Organic,66.81
C000034,2022-01-01,2022-02-01,SMB,EU,Paid Search,98.42
C000035,2022-01-01,2022-06-01,SMB,EU,Referral,82.42
C000036,2022-01-01,2022-07-01,Mid,EU,Organic,385.57
C000037,2022-01-01,,Mid,APAC,Social,541.64
C000038,2022-01-01,2022-03-01,SMB,EU,Paid Search,66.83
C000039,2022-01-01,2024-03-01,SMB,US,Organic,102.48
C000040,2022-01-01,2022-09-01,SMB,EU,Organic,83.67
C000041,2022-01-01,2023-03-01,SMB,US,Organic,74.8
