customer_id,date,mrr,plan,region,acquisition_channel,is_churn_month
C000001,2022-01-01,52.69,SMB,APAC,Social,False
C000001,2022-02-01,75.12,SMB,APAC,Social,False
C000001,2022-03-01,53.16,SMB,APAC,Social,False
C000001,2022-04-01,51.76,SMB,APAC,Social,True
C000002,2022-01-01,56.27,SMB,EU,Organic,False
C000002,2022-02-01,54.63,SMB,EU,Organic,False
C000002,2022-03-01,57.21,SMB,EU,Organic,False
C000002,2022-04-01,56.48,SMB,EU,Organic,False
C000002,2022-05-01,56.39,SMB,EU,Organic,False
C000002,2022-06-01,58.15,SMB,EU,Organic,False
C000002,2022-07-01,56.46,SMB,EU,Organic,True
C000003,2022-01-01,80.45,SMB,US,Paid Search,False
C000003,2022-02-01,81.51,SMB,US,Paid Search,False
C000003,2022-03-01,78.49,SMB,US,Paid Search,False
C000003,2022-04-01,77.57,SMB,US,Paid Search,False
C000003,2022-05-01,78.3,SMB,US,Paid Search,False
C000003,2022-06-01,80.32,SMB,US,Paid Search,False
C000003,2022-07-01,81.03,SMB,US,Paid Search,False
C000003,2022-08-01,81.52,SMB,US,Paid Search,False
C000003,2022-09-01,77.69,SMB,US,Paid Search,False
C000003,2022-10-01,81.86,SMB,US,Paid Search,False
C000003,2022-11-01,81.43,SMB,US,Paid Search,False
C000003,2022-12-01,80.58,SMB,US,Paid Search,False
C000003,2023-01-01,82.49,SMB,US,Paid Search,False
C000003,2023-02-01,80.64,SMB,US,Paid Search,True
C000004,2022-01-01,79.27,SMB,US,Paid Search,False
C000004,2022-02-01,81.24,SMB,US,Paid Search,False
C000004,2022-03-01,83.76,SMB,US,Paid Search,False
C000004,2022-04-01,83.37,SMB,US,Paid Search,False
C000004,2022-05-01,84.45,SMB,US,Paid Search,False
C000004,2022-06-01,84.8,SMB,US,Paid Search,False
C000004,2022-07-01,82.83,SMB,US,Paid Search,False
C000004,2022-08-01,67.53,SMB,US,Paid Search,False
C000004,2022-09-01,82.06,SMB,US,Paid Search,False
C000004,2022-10-01,81.98,SMB,US,Paid Search,False
C000004,2022-11-01,81.22,SMB,US,Paid Search,False
C000004,2022-12-01,82.96,SMB,US,Paid Search,False
C000004,2023-01-01,82.42,SMB,US,Paid Search,False
C000004,2023-02-01,82.64,SMB,US,Paid Search,False
C000004,2023-03-01,86.6,SMB,US,Paid Search,False
C000004,2023-04-01,82.48,SMB,US,Paid Search,False
C000004,2023-05-01,80.62,SMB,US,Paid Search,False
C000004,2023-06-01,83.84,SMB,US,Paid Search,False
C000004,2023-07-01,81.04,SMB,US,Paid Search,False
C000004,2023-08-01,80.91,SMB,US,Paid Search,False
C000004,2023-09-01,65.09,SMB,US,Paid Search,False
C000004,2023-10-01,83.61,SMB,US,Paid Search,False
C000004,2023-11-01,80.53,SMB,US,Paid Search,False
C000004,2023-12-01,81.9,SMB,US,Paid Search,False
C000004,2024-01-01,81.08,SMB,US,Paid Search,False
C000004,2024-02-01,84.26,SMB,US,Paid Search,False
C000004,2024-03-01,83.41,SMB,US,Paid Search,False
